pilot,records,peaks
David Hasko,6,Zelena glava;Košutnikov turn / Koschutnikturm;Weinasch / Vajnež;Ostrv / Kainradlturm;Veliki vrh / Hochturm;Matajur
Roman Zechner,6,Mangart;Monte Traunig / Travnik;Mittagskogel / Kepa;Schwarzkogel / Kresišče;Petelinjek / Hahnenwipfel;Peč / Ofen / Monte Forno
Igor Kremsar,5,Vellacherturm;Ledinski vrh;Veliki vrh;Zvoh;Bašeljski vrh
Loris Filippini,4,Kanin / Canin;Ponza Grande / Visoka Ponca;Ponza di Mezzo / Srednja Ponca;Dovška Baba / Frauenkogel
Andrej Erznožnik,3,Stari vrh;Mariborsko Pohorje;Bellevue
Poje Jože,3,Grdi vršič;Kuk;Velika Slivnica
Alberto Dal Maso,2,Krn;Šija
Ferdinand Van schelven,2,Rdeča skala;Mali vrh
Francesco Bianchessi,2,Slatnik;Kor
Gottfried Kaschnig,2,Kordeževa glava;Golica/Kahlkogel
Johannes Juri,2,Velika Ponca;Rombon
Leopold Stepan,2,Veliki Muzec;Mrzli vrh
Richard Fritz,2,Srednji vrh;Na Vrhu
Uros Bergant,2,Kontni vrh;Oltar
Werner Weissmann,2,Stol;Mali Stol
Andrej Erznoznik,1,Goljak
Balazs Racz,1,Gladki vrh
Boris Kováčik,1,Čukla
Borut Lapajne,1,Špik
Botond Szakács,1,Pršivec
Bryan Moore,1,Vrh Planje
Christian Opetnik,1,Freiberg
Csaba Luczy,1,Kopa
Daniel Perez,1,Visoka špica / Cima alta di Valromana
Dusan Oroz,1,Lajnar
Florian Mcgyver,1,Kucelj
Fons de Leeuw,1,Kobla
Frank Spurfeld,1,Stol
Giovanni Negro,1,Gorenji Krivi rob
Gixn Fly,1,Krasji vrh
Gábor Dobi,1,Gradišče (Njivica)
HOFFI .,1,Slatnik
Igor Okorn,1,Triglav
Ivan Romic,1,Ovčji vršič
Jan Soukup,1,Gnjilica
Jernej Juvan,1,Partizanski vrh
Jindra Sedlacek,1,Visoč vrh
Jodi Kelt,1,Starijski vrh
John Martina Pradeis,1,Begunjski vrh
Jost Napret,1,Krvavec
Jozef Poje,1,Tolsti vrh
Juraj Koreň,1,Možic
Jure Kurnik,1,Kriška gora
Manfred Marte,1,Končnikov vrh
Marcel Jurec,1,Jancerijski vrh
Marko Kejžar,1,Blegoš
Martin Jansa,1,Vodel
Michael Grünebach,1,Ponza Piccola / Mala Ponca
Mitja Jancic,1,Mrzlica
Nejc Okorn,1,Kredarica
Oliver Ogris,1,Kofce gora / Hüttenberg
Paolo Miani,1,Ruta
Paulius Jonaitis,1,Kozjek
Pavel Titov,1,Orlova glava
Pavol Tropp,1,Črna prst
Peter Feichtinger,1,Mali Muzec
Peter Šimek,1,Vrh Lipnika
Pius Josef,1,Raduha
Pál Tarpataki,1,Držetina
Rostislav Vondra,1,Vratca
Saulius Sinkunas,1,Grmuč
Sebastjan Podbregar,1,Medvedjak
Stanislav Třebeška,1,Selovec
Tamás Szépe,1,Gradišče
Thomas Hofbauer,1,Rateški Mali Mangart / Piccolo Mangart
Viera Stieberova,1,Kobilja glava
Vlastimil Kricnar Jr,1,Veliki rob
Zoltán Kómár,1,Grmada
alfio ghezzi,1,Dravh
gerhard Scheffknecht,1,Glava
pavol sliva,1,Nizki vrh
simon oberrauner,1,Mrzli vrh
