pilot,records,peaks
Žiga Bajt,12,Storžič;Veliki vrh (Begunjščica);Srednji vrh;Veliki Zvoh;Srednji vrh;Golica / Kahlkogel;Psica;Tolsti vrh;Jircek;Porezen;Veliki Razbor;Planjava
Johannes Juri,11,Velika Ponca;Mala Ponca;Kotova špica;Monte Termine / V Koncu špica;Rombon;Bielschitza/Svačica;Veliki vrh;Steinberg / Kamnati vrh;Nizka Bavha;Peč / Ofen / Monte Forno;Taubenkogel
Loris Filippini,7,Kanin / Canin;Mali Kanin / Canin basso;Veunza / Vevnica;Ponza Grande / Visoka Ponca;Ponza di Mezzo / Srednja Ponca;Dovška Baba / Frauenkogel;Baba
Paolo Miani,6,Cima del Lago / Jerebica;Griva;Kucerji;Konj;Planja;Ruta
Robert Gorišek,6,Vrtaško Sleme;Raduha;Votlo Sleme;Tolsti vrh;Šentjoški vrh;Partizanski vrh
Roman Zechner,6,Mangart;Rateški Mali Mangart / Piccolo Mangart;Monte Traunig / Travnik;Schwarzkogel / Kresišče;Petelinjek / Hahnenwipfel;Veliki Vratnik
David Hasko,5,Zelena glava;Košutnikov turn / Koschutnikturm;Weinasch / Vajnež;Ostrv / Kainradlturm;Veliki vrh / Hochturm
Matej Cebasek,5,Hochstuhl / Stol;Mali Stol;Orličje;Viševnik;Rosenkogel / Hruški vrh
Frank Spurfeld,4,Stol;Ribežni;Mrzli vrh;Srednji vrh
Andrej Erznožnik,3,Stari vrh;Mariborsko Pohorje;Bellevue
Igor Kremsar,3,Vellacherturm / Storžek;Ledinski vrh;Bašeljski vrh
Manfred Marte,3,Križnik;Končnikov vrh / Knieps;Govca (Olševa)
Paul Stoisser,3,Velika Mojstrovka;Mala Mojstrovka;Sovatnice
Pavol Sliva,3,Nad Ohojami;Kopa;Nizki vrh
Peter Šimek,3,Male špice;Batognica;Rdeča glava
Poje Jože,3,Ovčji vršič;Kuk;Velika Slivnica
Thomas Paradealer,3,Mahavšček;Vrh Ovčje planje;Velika Montura
Achim Rasser,2,Velika glava;Ranta
Alberto Dal Maso,2,Krn;Mali Zvoh
Boris Kováčik,2,Čukla;Gorenji prehodi
Dawid Kopiczko,2,Vogel;Vrh Krnic
Ferdinand Van schelven,2,Rdeča skala;Mali vrh
Fons de Leeuw,2,Kobla;Bohkobl
Francesco Bianchessi,2,Slatnik;Kor
Gixn Fly,2,Krasji vrh;Mali vrh
Ivan Romic,2,Vrh Škrbinice;Ruševa glava
Jakub Ciechański,2,Vršič;Vrh Ruš
Julian Woods,2,Šija;Visoki Orlov rob
Juraj Koreň,2,Možic;Na Vratcih
Lino Dani,2,Velki Matajurski vrh;Poljanski vrh
Lisa Bauer,2,Kleiner Mittagskogel / Koroška Mala Kepa;Vršanja glava
Mario Strahlhofer,2,Kopsko;Planica
Marko Kejžar,2,Blegoš;Špik
Martins Sudars,2,Glava v Zaplanji;Vrh Zelenic
Márk Bede-Fazekas,2,Kofce gora / Hüttenberg;Mali turn
Paulius Jonaitis,2,Gospinec;Kozjek
Pavel Titov,2,Rjava skala;Medvedov vrh
Philipp Haag,2,Monte Piatto cima ovest / Trinški Vrh;Trinški vrh / Monte Piatto cima est
Sandro Klemente,2,Goljak;Goljak
Stanislav Třebeška,2,Selovec;Veliki rob
Stefan Sliz,2,Črna prst;Rušni vrh
Uros Bergant,2,Kontni vrh;Oltar
Vlastimil Klikar,2,Jalovnik;Sočica
Zdravko Kumer,2,Podkrški vrh;Navrški vrh
marko petschnig,2,Goli vrh;Kogel
ALESSANDRO PERUZZI,1,Matajur
Ahmed Ezzat,1,Kendov vrh
Aleksei Štabilinskas,1,Kunik
Alexander Hille,1,Kremant
Andras Gabor Toth,1,Njivca
Andrew Rayhill,1,Plant
Balazs Racz,1,Gladki vrh
Bernhard Kroisenbacher,1,Dovška Mala Kepa
Botond Szakács,1,Pršivec
Bryan Moore,1,Vrh Planje
Christian Furrer,1,Vrh Travnika
Csaba Baczo,1,Visoka špica / Cima alta di Valromana
Csaba Luczy,1,Kopa
Daniel Valsesia,1,Zavitar
Daria Nowicka,1,Tolminski Triglav
Dušan Durkovič,1,Mali Skedenj
Edith Riedler,1,Grpišca
Eduardo Gellner,1,Mittagskogel / Kepa
Enrico Lerussi,1,Vršič
Erich Edlinger,1,Sklep
Gabriella Csuháné Szabó,1,Požeg
