pilot,records,peaks
David Hasko,36,Hochkönig;Hohe Gamsfeldspitze;Schmiedstock;Kramkogel;Hochhaide;Sinabell;Torkopf;Sommerstein;Hochgschirr;Sandkogel;Spielkogel;Hochegg;Austuhl;Košutnikov turn / Koschutnikturm;Haßeck;Weinasch / Vajnež;Ostrv / Kainradlturm;Kamplnock;Heukareck;Schiedreitspitz;Veliki vrh / Hochturm;Saukarkopf;Seidleckkopf;Schober;Gasteiner Höhe;Tennkogel;Kleinobir;Schneebergkreuz;Schneeberg;Liechtensteinkopf;Frommerkogel;Ferlacher Horn;Hochgründeck;Rauchkögerl;Kreuzkögerl;Matzen
Gerald Kernstock,16,Hochalmspitze;Vorderer Kesselkopf;Fluh;Großer Bösenstein;Breitspitze;Großer Speikkogel;Kaiserschild;Rether Kopf;Elferkogel;Zwölferkogel;Ahornstein;Hirschkogel;Dürrnbacheck;Kletschachkogel;Windhofkogel;Harterberg
Mario Mayr,16,Torsäule;Großer Priel;Kreuzkogel (Döferl);Rotgschirr;Rotgschirr (Südgipfel);Grubereck;Großer Wildenkogel;Schönberg (Wildenkogel);Großer Rabenstein;Großer Woising;Kasberg;Alberfeldkogel;Traunstein;Traunkirchner Kogel;Leistenstein;Löckenkogel
simon oberrauner,16,Gjaidtroghöhe;Zinizachspitze;Griften (Zupalkogel);Hohe Munde Ostgipfel;Seekogel;Hochschwab;Kleiner Hochschwab;Hochschwung;Eismauer;Multereck;Nazogl;Klingspitz;Halserspitz;Kleiner Griesstein;Hochlantsch;Gelände
Andreas Reisinger,13,Großer Hochkasten;Kleiner Hochkasten;Schwarzkogel;Kleiner Pyhrgas;Roßschopf;Kremsmauer;Pyramide;Rotgsol;Haderlauskögerl;Blosskogel;Rauer Kalbling;Nackter Kalbling;Kampleck
Sebastian Huber,13,Mittlere Guslarspitze;Vordere Guslarspitze;Grawandkofel;Tauernkopf;Gamskarkogel;Helm - Monte Elmo;Putzen;Golzentipp;Aineck;Sausteigen;Zinken;Eislochkogel;Bärenfeuchtmölbing
Herbert Holaus,10,Wilder Freiger - Cima Libera;Rötenspitze;Kemacher;Westliche Kaminspitze;Mittlere Kaminspitze;Schartenkogel;Patscherkofel;Alplköpfl;Hamberg;Joelspitze
Manus Pig,10,Straßkopf;Strasskopf;Steinfeldspitze;Bernkogel;Sladinkopf;Baukogel;Throneck;2. Lauskopf;Hochfeld;Mooseckhöhe
Mario Schmaranzer,10,8. Turm;Sonnenjoch;Mandlkogel;Vordere Goinger Halt;Großer Donnerkogel;Hochkopf;Steinriesenkogel;Freyaturm;Russberg;Hornspitz
christian amon,10,Hoher Dachstein;Niederer Dachstein;Mittlerer Ochsenkogl;Hoher Trog;Speikberg (Maisenberger Hirzberg);Niederer Krippenstein;Plassen;Vorderer Plassen;Schwarzkogel;Langgangkogel
