pilot,records,peaks
David Hasko,62,Schwarzkopf;Maurerkogel;Hochkönig;Sandbodenkopf;Hohe Gamsfeldspitze;Schmiedstock;Kramkogel;Raucheck;Geißkarkopf;Hochhaide;Sinabell;Daniel;Torkopf;Schrottwand;Sommerstein;Höllwand;Hochgschirr;Sandkogel;Schuhflicker;Rauchkogel;Spielkogel;Hochegg;Austuhl;Arlspitze;Aukopf;Košutnikov turn / Koschutnikturm;Tristkopf;Weinasch / Vajnež;Ostrv / Kainradlturm;Kamplnock;Heukareck;Schiedreitspitz;Veliki vrh / Hochturm;Ameiskopf;Gabel;Seiserkopf;Seidleckkopf;Schober;Tennköpfl;Sonntagshorn;Kleinobir;Schneebergkreuz;Feldalphorn;Schneeberg;Frommerkogel;Ferlacher Horn;Hochgründeck;Hochegg;Rauchkögerl;Kreuzkögerl;Gernkogel;Gamskögerl;Lammstein;Feldl;Filzkogel;Matzen;Hochglocker;Jodlstein;Schleichkogel;Palfnerkogel;Bretterstein;Zederbergkopf
Christian Schartner,34,Brennkogel;Kolmkarspitz;Zwillingwand;Ochsenkopf;Kilnprein;Zehnerkarspitze;Hiefler;Taferlnock;Geißstein;Große Kesselspitze;Gamsspitzl;Seehorn;Hinteres Freieck;Seekarschneid;Hochkogel;Schwarzkopf;Archenkopf;Gurenstein;Hochwipfel;Gaugen;Indianerkopf;Vorderer Geißstein;Schöpfling;Aignerhöhe;Benzegg;Hörndl;Hinterer Fager;Egelseehörndl;Rosenkogel;Hochthron;Dachsteinblick;Schober;Frauenkopf;Kulmkogel
simon oberrauner,21,Gjaidtroghöhe;Amertaler Höhe;Zinizachspitze;Griften (Zupalkogel);Hohe Munde Ostgipfel;Seekogel;Mittermölbing;Kleiner Hochschwab;Hochschwung;Eismauer;Dorfberg;Nazogl;Klingspitz;Linseck;Halserspitz;Kleiner Griesstein;Hochlantsch;Thalerkogel;Schöckl;Rechbergkogel;Gelände
Hans Peter Ullmann,19,Jägerspitze;Spitzmauer;Riebenkofel;Temlberg (Greßtenberg);Rotgschirr;Rotgschirr (Südgipfel);Weitgrubenkopf;Riffel;Mittagskofel;Großer Pyhrgas;Finsterkopf;Hoher Nock;Hochsengs;Pleschberg;Feuerkogel;Hoher Sattenkogel;Trämpl;Steineck;Trapez
Johannes Juri,16,Kreuzspitze/Eggeberg;Demut - La Muta;Törlkopf;Spitzkofel;Kreuzbühel;Kuhstand;Graslitzen;Waidegger Höhe;Bielschitza/Svačica;Zollnerhöhe;Möschacher Wipfel;Mitterwipfel;Kirchbacher Wipfel;Nölblinger Höhe;Steinberg / Kamnati vrh;Nizka Bavha
Johann Tockner,14,Greim;Lärchkogel;Geierkogel;Sonntagskogel;Lahneck;Sandkogel;Großer Hengst;Größenberg;Gruber-Hirnkogel;Schleifeck;Rosenkogel;Bärnkopf;Hölzelkogel;Geigerkogel
Andreas Reisinger,13,Großer Hochkasten;Kleiner Hochkasten;Schwarzkogel;Kleiner Pyhrgas;Roßschopf;Kremsmauer;Pyramide;Rotgsol;Haderlauskögerl;Blosskogel;Rauer Kalbling;Nackter Kalbling;Kampleck
Daniel Oberauer,13,Frauenwand;Weiße Wand;Kamplbrunnspitze;Grünleitennock;Angerstein;Riffl;Edelweißkogel;Schober;Schober;Unterberghorn;Ostermaisspitz;Brandangerkogel;Höllang
Gerald Kernstock,13,Vorderer Kesselkopf;Fluh;Großer Bösenstein;Breitspitze;Großer Speikkogel;Rether Kopf;Elferkogel;Zwölferkogel;Hirschkogel;Dürrnbacheck;Kletschachkogel;Windhofkogel;Harterberg
Herbert Holaus,12,Wilder Freiger - Cima Libera;Schöberspitzen;Rötenspitze;Kemacher;Westliche Kaminspitze;Mittlere Kaminspitze;Schartenkogel;Patscherkofel;Alplköpfl;Wiedersberger Horn;Hamberg;Joelspitze
