pilot,records,peaks
Grimpereau Desbois,14,Mont Vélan;Pigne de la Lé;Pointe du Vasevay;Rosablanche;Haute Cime;Le Doigt;Pointe du Tsaté;Grande Dent de Morcles;Illhorn;Le Catogne;Dent de Bonavau;Tête de la Payanne;Tête des Verdets;Tour de Mayen
Christoph Fässler,10,Wildi Frau;Krönten;Grassen;Tschuggen;Chronenstock;Blüemberg;Gross Spitzen;Pizzo Peloso;Rigi Hochflue;Chli Aubrig
KÜRTU HÄNNI,9,Augstbordhorn;Gantrisch;Hohgant;Schafmatt;Schimbrig;Hengst;Beichle;Rotefluespitz;Grand Mont
Rolf Erhardt,9,Schwarzhorn;Piz Alvra;Tschimas Da Tisch;Sandhubel;Fulhorn;Mattjisch Horn;Chüenihorn;Kreuzberg VIII;Leuggelstock
Laurent Borella,8,Testa Grigia;Trubelstock;Wisshore;Mont Loéré;Mont Rouge;Tête des Etablons;Crêt du Midi;Motto dei Ciapitt
Martin Zettler,8,Wildhorn;Arpelistock;Scex Rouge;Niesehorn;Wittenberghorn;Le Rubli;Wannehörli;Les Rodomonts
Alexandre Caillet-Bois,7,Pointe de la Tsevalire;Chaux d'Antème;Croix de l'Hiver;Grande Conche;Dent de Valerette;signal de soi;Collines des Crosets
Bruno Bohren,7,Gemsstock;Geschinerstock;Schächentaler Windgällen;Märcher Stöckli;Cima d'Erbea Orientale;Sunniggratli;Dirrengrind
Martin Bühler,7,Eggishorn;Sassauna;Twärchamm;P.2256;Selun;Hohe Winde;Rotmattchopf
Adrian Lutz,6,Tälligrat;Piz Toissa;Lobhörner;Widderfeldstock;Brisi;Vorstegg
Markus Egli,6,Ruchi;P.2860;Siwellen;Schilt;Tristli;Tierberg
Michel Berset,6,Pigne d'Arolla;Pointe de la Plaine Morte;Tubang;Jägerchrüz;Munt da la Bês-cha;Mont Lachaux
Mihai Martalogu,6,Wyssi Flue;Wistätthorn;Schwalmis;Mont d'Or;Tsermon;Stouffe
Peter Haltiner,6,Muot da l'Hom;Schlösslichopf;Gir;Margelchopf;Kleiner Gir;Chapf
Vincent Vuille,6,Gross Chärpf;Chli Chärpf;Steingässler;Schibe;Monte Fumadiga;Madonnetto
laurent monneron,6,Dent Blanche;Pointe de Bricolla;Omen Roso;La Brinta;Le Fou;Les Coursis
Alex Leoni,5,Breithorn;Il Pizzet;Monte Generoso;Monte Lema;Monte Boglia
Chrigel Maurer,5,Piz Chavalatsch;Il Pizzaccio;Lauberhorn;Niesen;Biet
Christian Erne,5,Standhore;Ziger;La Manèra;Kronberg;Hummel
Frank Schaufuss,5,Bettmergrat;Mottone di Cava;Höchgrat;Cima di Visghéd;Salistock
Jerry Berchtold,5,Rottalhorn;Petite Dent de Morcles;Le Luisin;Point de l'Au;Crête de Chaux Commun
Kim Rehberg,5,Munt Baselgia;Pizzo di Nara;Madone;Madone;Grappenhorn
Klaus Jordan,5,Balmhorn;P3667;Tothorn;Hundshorn;Sattelhorn
Marc Fragnière,5,Rottalhorn;Munt Pers;Vanil Carré;Les Millets (Sommet est);Les Millets
Michael Küffer,5,Weissmies;Schafbärg;Kistenstöckli;Eggerhorn;Gletscherchopf
Ozo Advanski,5,Rothorn;Cruit;Pizzo Fedora;Pizzit;Cardada
Philipp Rothenbühler,5,Piz di Campedell;Pizzo dell'Uomo;Pizzo d'Era;Pizzo d’Orgnana;Monte Gradiccioli
Thomas Conzett,5,Pizzo di Cassimoi;Gufelstock;Moor;Jöchli;Girenspitz
Tobias Dütschler,5,Chilchhorn;Madone Grosso;Monte Zucchero;Sosto;Cima di Medeglia
Werner Jacober,5,Gämsfairenstock;Rautispitz;Chrüz;Hirzli;Tanzboden
Adrian Vogel,4,Brätterstock;Schübelmoosegg;Sidemoosflue;Chnubeli
Benedikt Braun,4,Gemmenalphorn;Schilt;Chrattenflue;Wannenflue
Bernhard Senn,4,Bütlasse;Bunderspitz;Gibidum;Schibenspitz
Boris Smolinski,4,Piz Mezdi;Marchstöckli;Hängst;Bockmattli
Bruno Giulini,4,Piz Lunghin;Monte Marmontana;Cima di Fiorina;Regagno
Christian Schader,4,Rätschenhorn;Leistchamm;Horntube;Schülberg
Joel Fuchs,4,Breithorn Occidentale / Westgipfel;Gobba di Rollin;Klein Matterhorn;Les Diablons
Jürg Weber,4,Sidelhorn;Hinterhorn;Fliederhorn;Sunnighorn
Michael Grünebach,4,Strahlhorn;Breithorn Centrale;Combin de la Tsessette;Dürrenhorn
Olivier Anken,4,Bellavista Mittelgipfel Ost;Läckistock;Gamperstock;Husegg
Patrick Perrin,4,Les Cornettes de Bise;Le Chamossaire;La Berthe;Roc d'Orsay
Peter Käch,4,Piz Lagalb;Muottas Muragl;Günhorn;Chamben
Peter Schmutz,4,Gemsflue;Pfaffli;Stand;Stäckhütteghürn
Reto Compagnoni,4,Pizzo Barone;Spitzhorli;Pizzo di Claro / Visagno;Pianca
Roli F.,4,Spitzmeilen;Chalchstöckli;Wissmeilen;Rietstöckli
Urs Lengweiler,4,Höch Gumme;Gros Van;Arnifirst;Hohliecht
erich limacher,4,Stäfeliflue;Ochs;Bock;Bärgli
michael witschi,4,Dufourspitze;Dunantspitze;Grenzgipfel;Ankehubel
