pilot,records,peaks
Grimpereau Desbois,13,Mont Vélan;Pointe du Vasevay;Rosablanche;Haute Cime;Le Doigt;Pointe du Tsaté;Pointe de la Tsevalire;Grande Dent de Morcles;Le Catogne;Dent de Bonavau;Tête de la Payanne;Tête des Verdets;Tour de Mayen
Rolf Erhardt,10,Schwarzhorn;Piz Alvra;Tschimas Da Tisch;Sandhubel;Falknis;Mattjisch Horn;Chüenihorn;Gauschla;Mutschen;Leuggelstock
KÜRTU HÄNNI,9,Augstbordhorn;Gantrisch;Hohgant;Schafmatt;Schimbrig;Hengst;Beichle;Rotefluespitz;Grand Mont
Laurent Borella,9,Testa Grigia;Trubelstock;Wisshore;Mont Loéré;Mont Rouge;Tête des Etablons;La Breya;Crêt du Midi;Motto dei Ciapitt
Werner Jacober,8,Gämsfairenstock;Vorderer Eggstock;Schilt;Tristli;Rautispitz;Chrüz;Hirzli;Tanzboden
Alexandre Caillet-Bois,7,Dent de Valère;Chaux d'Antème;Croix de l'Hiver;Grande Conche;Dent de Valerette;signal de soi;Collines des Crosets
Christoph Fässler,7,Wildi Frau;Krönten;Tschuggen;Chronenstock;Blüemberg;Pizzo Peloso;Chli Aubrig
Martin Zettler,7,Wildhorn;Arpelistock;Scex Rouge;Wittenberghorn;Wannehörli;Les Rodomonts;Rellerligrat
Benedikt Braun,6,Gemmenalphorn;Niederhorn;Günhorn;Schilt;Chrattenflue;Wannenflue
Bruno Bohren,6,Gemsstock;Geschinerstock;Schächentaler Windgällen;Märcher Stöckli;Cima d'Erbea Orientale;Dirrengrind
Frank Schaufuss,6,Bettmergrat;Mottone di Cava;Mottone;Höchgrat;Cima di Visghéd;Salistock
Martin Bühler,6,Sassauna;Twärchamm;P.2256;Selun;Hohe Winde;Rotmattchopf
Michael Küffer,6,Weissmies;Schafbärg;Roc de la Vache;Eggerhorn;Gletscherchopf;Biet
Mihai Martalogu,6,Wyssi Flue;Wistätthorn;Schwalmis;Mont d'Or;Tsermon;Stouffe
Werner Berweger,6,Hockenhorn;Minschuns;Tierberg;Föisc;Hagelstock;Siwfass
Adrian Lutz,5,Tälligrat;Piz Toissa;Widderfeldstock;Brisi;Vorstegg
Adrian Vogel,5,Brätterstock;Hengst;Schübelmoosegg;Sidemoosflue;Chnubeli
Alex Leoni,5,Breithorn;Il Pizzet;Monte Generoso;Monte Lema;Monte Boglia
Christian Schader,5,Rätschenhorn;Fahnenstock;Leistchamm;Horntube;Schülberg
Felix Aegerter,5,Wildstrubel;Pic d'Artsinol;Wandflue;Schopfenspitz - Gros Brun;Les Millets (Sommet est)
Kim Rehberg,5,Munt Baselgia;Pizzo di Nara;Madone;Madone;Grappenhorn
Michel Berset,5,Pigne d'Arolla;Pointe de la Plaine Morte;Tubang;Munt da la Bês-cha;Mont Lachaux
Olivier Anken,5,Bellavista Mittelgipfel Ost;Schafköpfe;Läckistock;Gamperstock;Husegg
Peter Haltiner,5,Säntis;Muot da l'Hom;Schlösslichopf;Margelchopf;Chapf
René Winkler,5,Fromattgrat;Gehrihorn;Albristhubel;Gustispitz;Chline Gibel
Beat Walker,4,Ortstock;Rossstock;Spilauerstock;Stockrain
Bernhard Benguerel,4,Hochstollen;Tomlishorn;Arvigrat;Selispitz
Bernhard Senn,4,Bütlasse;Bunderspitz;Gibidum;Schibenspitz
Bruno Giulini,4,Monte Marmontana;Sasso Basciotta;Cima di Fiorina;Regagno
Erich Lemmenmeier,4,Frümsel;Schibenstoll;Stockberg;Lauiberg
Jürg Weber,4,Sidelhorn;Hinterhorn;Fliederhorn;Sunnighorn
Klaus Jordan,4,Balmhorn;P3667;Hundshorn;Sattelhorn
Ozo Advanski,4,Cruit;Pizzo Fedora;Pizzit;Cardada
Patrick Perrin,4,Les Cornettes de Bise;Le Chamossaire;La Berthe;Roc d'Orsay
Reto Compagnoni,4,Pizzo Barone;Madone Grosso;Spitzhorli;Pizzo di Claro / Visagno
Umbricht Fabian,4,Mönch;Brisen;Homad;Mittaggüpfi
Urs Lengweiler,4,Höch Gumme;Gros Van;Arnifirst;Hohliecht
Vincent Vuille,4,Gross Chärpf;Steingässler;Schibe;Madonnetto
erich limacher,4,Stäfeliflue;Ochs;Bock;Bärgli
laurent monneron,4,Pointe de Bricolla;Omen Roso;La Brinta;Le Fou
renzo zanotta,4,Baraghetto;Cima di Sassalto;Cima della Piancaccia;Motto di Cima
stefan hollenstein,4,Piz Platta;Piz Arina;Haldensteiner Calanda;Taminser Calanda
Andreas Fluck,3,Seefeldstock;Wengenhorn;Dossen
Archibald Muck,3,Foostöckli;Schafleger;Speer
Beat Sägesser,3,Stanserhorn;Cimetta;Lo Stallone
Boris Smolinski,3,Piz Mezdi;Marchstöckli;Bockmattli
Christian Erne,3,Standhore;Ziger;Hummel
Christian Leutwiler,3,La Pare;Rotisegg;Laupersdorfer Stierenberg
Davide Cattaneo,3,Piz di Rüss - Cima Croce;Cadolcia;Sasso Guidà
Dominik Dusek,3,Mittlerer Eggstock;Furggenguetsch;Le Van
Friedrich Bloße,3,Schwarzhorn;Holzerhore;Mittagflue
Gabriel Untersander,3,Schofwisspitz;Lütispitz;Chrüzegg
Gavin McClurg,3,Rotstock;Pizzo Gandaiole;Laaglehore
Gianbattista Pron,3,Monte Garzirola;Monte Tamaro;Monte Ferraro
Günther Bislin,3,Bölli;Tagweidlichopf;Roslen-Saxer First
Jan Sterren,3,Männlichen;Rothorn;Hellchöpfli
