pilot,records,peaks
Grimpereau Desbois,15,Mont Vélan;Pigne de la Lé;Pointe du Vasevay;Rosablanche;Haute Cime;Le Doigt;Pointe du Tsaté;Grande Dent de Morcles;Illhorn;Le Fou;Le Catogne;Dent de Bonavau;Tête de la Payanne;Tête des Verdets;Tour de Mayen
Christoph Fässler,12,Wildi Frau;Krönten;Grassen;Tschuggen;Chronenstock;Blüemberg;Gross Spitzen;Pizzo Peloso;Birehubel;Rigi Hochflue;Forcarella;Chli Aubrig
KÜRTU HÄNNI,12,Augstbordhorn;Gantrisch;Hohgant;Schafmatt;Walalpgrat;Schimbrig;Hengst;Beichle;Rotefluespitz;Hengst;Grand Mont;Howacht
Rolf Erhardt,11,Schwarzhorn;Piz Alvra;Tschimas Da Tisch;Sandhubel;Fulhorn;Mattjisch Horn;Fulbergegg;Chüenihorn;Kreuzberg VIII;Leuggelenstock;Ijenstock
Laurent Borella,8,Testa Grigia;Trubelstock;Wisshore;Mont Loéré;Mont Rouge;Tête des Etablons;Crêt du Midi;Motto dei Ciapitt
Martin Bühler,8,Eggishorn;Sassauna;Twärchamm;P.2256;Selun;Alplispitz;Hohe Winde;Rotmattchopf
Martin Zettler,8,Wildhorn;Arpelistock;Scex Rouge;Niesehorn;Wittenberghorn;Le Rubli;Wannehörli;Les Rodomonts
Adrian Lutz,7,Tälligrat;Piz Toissa;Lobhörner;Widderfeldstock;Brisi;Madchopf;Vorstegg
Alexandre Caillet-Bois,7,Pointe de la Tsevalire;Chaux d'Antème;Croix de l'Hiver;Grande Conche;Dent de Valerette;signal de soi;Collines des Crosets
Bruno Bohren,7,Gemsstock;Geschinerstock;Schächentaler Windgällen;Märcher Stöckli;Cima d'Erbea Orientale;Sunniggratli;Dirrengrind
Mihai Martalogu,7,Wyssi Flue;Wistätthorn;Schwalmis;Mont d'Or;Tsermon;Dossen;Stouffe
Chrigel Maurer,6,Piz Chavalatsch;Il Pizzaccio;Lauberhorn;Niesen;Biet;Barschwandhubel
Christian Erne,6,Standhore;Ziger;La Manèra;Kronberg;Hummel;Schnebelhorn
Frank Schaufuss,6,Bettmergrat;Mottone di Cava;Pizzo Alzasca;Höchgrat;Cima di Visghéd;Salistock
Jerry Berchtold,6,Rottalhorn;Petite Dent de Morcles;Le Luisin;Point de l'Au;Crête de Chaux Commun;Bec du Corbeau
Kim Rehberg,6,Munt Baselgia;Pizzo di Nara;Wart;Madone;Madone;Grappenhorn
