pilot,records,peaks
Grimpereau Desbois,13,Mont Vélan;Pigne de la Lé;Pointe du Vasevay;Rosablanche;Haute Cime;Le Doigt;Pointe du Tsaté;Grande Dent de Morcles;Le Catogne;Dent de Bonavau;Tête de la Payanne;Tête des Verdets;Tour de Mayen
KÜRTU HÄNNI,9,Augstbordhorn;Gantrisch;Hohgant;Schafmatt;Schimbrig;Hengst;Beichle;Rotefluespitz;Grand Mont
Rolf Erhardt,9,Schwarzhorn;Piz Alvra;Tschimas Da Tisch;Sandhubel;Fulhorn;Mattjisch Horn;Chüenihorn;Kreuzberg VIII;Leuggelstock
Alexandre Caillet-Bois,8,Pointe de la Tsevalire;Dent de Valère;Chaux d'Antème;Croix de l'Hiver;Grande Conche;Dent de Valerette;signal de soi;Collines des Crosets
Christoph Fässler,8,Wildi Frau;Krönten;Tschuggen;Chronenstock;Blüemberg;Pizzo Peloso;Rigi Hochflue;Chli Aubrig
Laurent Borella,8,Testa Grigia;Trubelstock;Wisshore;Mont Loéré;Mont Rouge;Tête des Etablons;Crêt du Midi;Motto dei Ciapitt
Martin Bühler,7,Eggishorn;Sassauna;Twärchamm;P.2256;Selun;Hohe Winde;Rotmattchopf
Martin Zettler,7,Wildhorn;Arpelistock;Scex Rouge;Niesehorn;Wittenberghorn;Wannehörli;Les Rodomonts
Adrian Lutz,6,Tälligrat;Piz Toissa;Lobhörner;Widderfeldstock;Brisi;Vorstegg
Bruno Bohren,6,Gemsstock;Geschinerstock;Schächentaler Windgällen;Märcher Stöckli;Cima d'Erbea Orientale;Dirrengrind
Frank Schaufuss,6,Bettmergrat;Mottone di Cava;Mottone;Höchgrat;Cima di Visghéd;Salistock
Markus Egli,6,Ruchi;P.2860;Siwellen;Schilt;Tristli;Tierberg
Michel Berset,6,Pigne d'Arolla;Pointe de la Plaine Morte;Tubang;Jägerchrüz;Munt da la Bês-cha;Mont Lachaux
Mihai Martalogu,6,Wyssi Flue;Wistätthorn;Schwalmis;Mont d'Or;Tsermon;Stouffe
Peter Haltiner,6,Muot da l'Hom;Schlösslichopf;Gir;Margelchopf;Kleiner Gir;Chapf
laurent monneron,6,Dent Blanche;Pointe de Bricolla;Omen Roso;La Brinta;Le Fou;Les Coursis
Alex Leoni,5,Breithorn;Il Pizzet;Monte Generoso;Monte Lema;Monte Boglia
Christian Erne,5,Standhore;Ziger;La Manèra;Kronberg;Hummel
Christian Schader,5,Rätschenhorn;Fahnenstock;Leistchamm;Horntube;Schülberg
Kim Rehberg,5,Munt Baselgia;Pizzo di Nara;Madone;Madone;Grappenhorn
Marc Fragnière,5,Rottalhorn;Munt Pers;Vanil Carré;Les Millets (Sommet est);Les Millets
Michael Küffer,5,Weissmies;Schafbärg;Eggerhorn;Gletscherchopf;Biet
Ozo Advanski,5,Rothorn;Cruit;Pizzo Fedora;Pizzit;Cardada
Reto Compagnoni,5,Pizzo Barone;Madone Grosso;Spitzhorli;Pizzo di Claro / Visagno;Pianca
Vincent Vuille,5,Gross Chärpf;Chli Chärpf;Steingässler;Schibe;Madonnetto
Werner Jacober,5,Gämsfairenstock;Rautispitz;Chrüz;Hirzli;Tanzboden
Adrian Vogel,4,Brätterstock;Schübelmoosegg;Sidemoosflue;Chnubeli
Benedikt Braun,4,Gemmenalphorn;Schilt;Chrattenflue;Wannenflue
Bernhard Senn,4,Bütlasse;Bunderspitz;Gibidum;Schibenspitz
Boris Smolinski,4,Piz Mezdi;Marchstöckli;Hängst;Bockmattli
Bruno Giulini,4,Piz Lunghin;Monte Marmontana;Cima di Fiorina;Regagno
Chrigel Maurer,4,Piz Chavalatsch;Il Pizzaccio;Lauberhorn;Niesen
Jerry Berchtold,4,Rottalhorn;Point de l'Au;Crête de Chaux Commun;Berneuse
Joel Fuchs,4,Breithorn Occidentale / Westgipfel;Gobba di Rollin;Klein Matterhorn;Les Diablons
Jürg Weber,4,Sidelhorn;Hinterhorn;Fliederhorn;Sunnighorn
Klaus Jordan,4,Balmhorn;P3667;Hundshorn;Sattelhorn
Martin de Nève,4,Grassen;Ruchstock;Hasenstöck;Rot Dossen
Olivier Anken,4,Bellavista Mittelgipfel Ost;Läckistock;Gamperstock;Husegg
Patrick Perrin,4,Les Cornettes de Bise;Le Chamossaire;La Berthe;Roc d'Orsay
Peter Käch,4,Piz Lagalb;Muottas Muragl;Günhorn;Chamben
Philipp Rothenbühler,4,Piz di Campedell;Pizzo dell'Uomo;Pizzo d'Era;Pizzo d’Orgnana
Roli F.,4,Spitzmeilen;Chalchstöckli;Wissmeilen;Rietstöckli
Urs Lengweiler,4,Höch Gumme;Gros Van;Arnifirst;Hohliecht
erich limacher,4,Stäfeliflue;Ochs;Bock;Bärgli
michael witschi,4,Dufourspitze;Dunantspitze;Grenzgipfel;Ankehubel
werner messerschmidt,4,Piz Surlej;Mont Gelé;Schafberg;Stein
Alain Favre,3,Leist;Sächsmoor;Breitmantel
Archibald Muck,3,Foostöckli;Schafleger;Speer
Beat Sägesser,3,Stanserhorn;Cimetta;Lo Stallone
Bernhard Benguerel,3,Hochstollen;Tomlishorn;Selispitz
Bernhard Friedli,3,Tête de Fonteinte;Tête de Ferret;Wätterlatte
Bertrand Cina,3,Fenêtre de la Cassorte;Monts Chevreuils;La Chuantse
Christian Leutwiler,3,La Pare;Rotisegg;Laupersdorfer Stierenberg
Christian Schöll,3,Wiriehorn;Lüneregg;Burgfeldstand
Daniel Schmitt,3,Leeshörner;Piz Terza;Gross Aubrig
Daniel Wirz,3,Gräfimattnollen;Wändlispitz;Rämisgütsch
David Ferrer Llanes,3,Zenjiflue;Ochsen;Dent de Vaulion
Davide Cattaneo,3,Piz di Rüss - Cima Croce;Cadolcia;Sasso Guidà
Dominik Dusek,3,Mittlerer Eggstock;Furggenguetsch;Le Van
Dorian Copt,3,Tête de Ferret;La Dotse;La Breya
Felix Aegerter,3,Wildstrubel;Wandflue;Schopfenspitz - Gros Brun
Gabriel Untersander,3,Schofwisspitz;Lütispitz;Chrüzegg
Gavin McClurg,3,Rotstock;Pizzo Gandaiole;Laaglehore
